branch_id,function_name,category,r2_total,r2_between,r2_within_formula,r2_within_balance,r2_fwl,r2_swingup,r2_reset
35:69:71,turn_off_with_delay:69→71,timer,0.7962576989851196,0.02706605955833785,0.7905897897627131,0.8209012212600427,0.7472601259660763,0.24945818683382837,0.2141077690241321
92:51:53,__fwritex:51→53,logging/IO,0.6433903477252235,0.48503675485606534,0.30750465079288836,-0.0004983149377963958,0.2915009411557543,0.3780466039290683,0.6345916591845497
22:2283:2738,tick:2283→2738,tick/main,0.7877136374126876,0.018662029106074063,0.7836766038983132,0.7466751911419904,0.7184632198627716,1.0,1.0
37:55:57,pou_general_machine:55→57,tick/main,0.8469579349805999,0.00017853209032914208,0.8469306071819347,0.8279565889032496,0.7798253922822456,0.031228926931512357,0.02010373889675343
37:55:67,pou_general_machine:55→67,tick/main,0.8253116966836522,0.0006403114914971253,0.825199770087723,0.7903948943595431,0.7316844857841001,0.024021123194556515,0.0408365961159306
22:2368:2738,tick:2368→2738,tick/main,0.7050121085055445,0.028302884504633363,0.6964199164632983,0.6429451059634247,0.605849383076092,1.0,1.0
35:105:119,turn_off_with_delay:105→119,timer,0.9476996374808271,0.005869522575646435,0.9473908468688381,0.9918965102570518,0.9429761241094315,0.216660140936776,0.16375769283019703
35:24:46,turn_off_with_delay:24→46,timer,0.9476996374808271,0.005869522575646435,0.9473908468688381,0.9918965102570518,0.9429761241094315,0.216660140936776,0.16375769283019703
35:51:100,turn_off_with_delay:51→100,timer,0.9476996374808271,0.005869522575646435,0.9473908468688381,0.9918965102570518,0.9429761241094315,0.216660140936776,0.16375769283019703
35:20:22,turn_off_with_delay:20→22,timer,0.9470523598197105,0.006633388258572848,0.9466987922138138,0.9910082865619624,0.942000956141942,0.21410571045662152,0.16232079548021583
34:71:88,turn_on_with_delay:71→88,timer,0.8613597662528851,0.05079805049074082,0.8539402138619792,0.863260954914575,0.817617429430195,0.3322068525196836,0.33331487924655256
22:2488:2735,tick:2488→2735,tick/main,0.6483825965243487,0.039016062343540936,0.6341068880577372,0.573769338563282,0.5313104602560559,1.0,1.0
22:2368:2370,tick:2368→2370,tick/main,0.649109825299711,0.039061705154095905,0.6348462990991969,0.5744535338142256,0.5319255835501548,1.0,1.0
22:2736:2762,tick:2736→2762,tick/main,0.649109825299711,0.039061705154095905,0.6348462990991969,0.5744535338142256,0.5319255835501548,1.0,1.0
102:336:351,printf_core:336→351,logging/IO,-0.0018858218961919082,3.805058177430709e-07,-0.001886203119720875,-0.0004983149377963958,-0.0004182250806947785,0.002568462473448996,-0.00866666437122876
102:6767:6782,printf_core:6767→6782,logging/IO,-0.0018858218961919082,3.805058177430709e-07,-0.001886203119720875,-0.0004983149377963958,-0.0004182250806947785,0.002568462473448996,-0.00866666437122876
