session_id,path,has_processed_trace,processed_trace_path,processed_trace_size_mb,processed_trace_rows,has_raw_aspk,has_layout,layout_path,layout_md5,has_wasm,has_wat,has_datalayer,wasm_path,wasm_size,wasm_md5
2025-03-13_09-23-44,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_09-23-44,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_09-23-44/processed_trace/processed_trace.csv,203.7,34512,False,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_09-23-44/code/layout.json,ca609c35e409345e70ae117598747b11,False,False,True,,,
2025-03-13_11-12-19,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_11-12-19,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_11-12-19/processed_trace/processed_trace.csv,1086.9,186081,False,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_11-12-19/code/layout.json,dcd05a54431fb997694f99e80b21bd5f,False,False,True,,,
2025-03-13_13-31-50,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_13-31-50,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_13-31-50/processed_trace/processed_trace.csv,409.1,69658,False,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_13-31-50/code/layout.json,dcd05a54431fb997694f99e80b21bd5f,False,False,True,,,
2025-03-13_14-32-27,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_14-32-27,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_14-32-27/processed_trace/processed_trace.csv,652.7,111164,False,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-13_14-32-27/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,False,False,True,,,
2025-03-17_10-06-14,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-06-14,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-06-14/processed_trace/processed_trace.csv,2870.5,490073,False,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-06-14/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,False,False,True,,,
2025-03-17_10-21-19,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-21-19,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-21-19/processed_trace/processed_trace.csv,2855.0,487625,False,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-21-19/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,False,False,True,,,
2025-03-17_10-36-44,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-36-44,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-36-44/processed_trace/processed_trace.csv,2878.3,491921,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-36-44/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,True,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-36-44/code/module.wasm,126608.0,b035b81f2b944f0467fc52664a551ab3
2025-03-17_10-51-58,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-51-58,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-51-58/processed_trace/processed_trace.csv,2847.8,485398,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-51-58/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,True,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_10-51-58/code/module.wasm,126608.0,b035b81f2b944f0467fc52664a551ab3
2025-03-17_11-06-39,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_11-06-39,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_11-06-39/processed_trace/processed_trace.csv,2894.5,494622,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_11-06-39/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,True,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-17_11-06-39/code/module.wasm,126608.0,b035b81f2b944f0467fc52664a551ab3
2025-03-18_12-39-10,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-18_12-39-10,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-18_12-39-10/processed_trace/processed_trace.csv,2956.6,505175,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-18_12-39-10/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,True,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-18_12-39-10/code/module.wasm,126608.0,b035b81f2b944f0467fc52664a551ab3
2025-03-19_10-05-47,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-05-47,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-05-47/processed_trace/processed_trace.csv,2861.1,487608,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-05-47/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,True,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-05-47/code/module.wasm,126608.0,b035b81f2b944f0467fc52664a551ab3
2025-03-19_10-20-35,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-20-35,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-20-35/processed_trace/processed_trace.csv,2858.9,488453,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-20-35/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,True,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-20-35/code/module.wasm,126608.0,b035b81f2b944f0467fc52664a551ab3
2025-03-19_10-37-56,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-37-56,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-37-56/processed_trace/processed_trace.csv,2861.2,488725,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-37-56/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,True,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-37-56/code/module.wasm,126608.0,b035b81f2b944f0467fc52664a551ab3
2025-03-19_10-54-34,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-54-34,False,,,0,True,True,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-54-34/code/layout.json,a3522fc931f7fc4fbf2e5bfa376de159,True,True,False,/home/simran/allspark-data-exploration/Pittsburgh-pendulum-datalogs/extracted/2025-03-19_10-54-34/code/module.wasm,126608.0,b035b81f2b944f0467fc52664a551ab3
