feature,n_unique,type,variance,err_64bins,err_128bins,err_256bins,err_512bins,err_1024bins
pendulum_state,3,discrete,0.032345121065774245,0.7547989216164525,0.18869973040411311,0.04717493260102828,0.01179373315025707,0.0029484332875642674
iteration,36,low-card,98.73682093842957,0.025287113892405837,0.006529238439300568,0.001608796687869235,0.00040288333774709937,0.00010191890728801929
target_x,4,discrete,0.004646228217495931,0.03482060440143149,0.00787568954928823,0.002383653162856884,0.0005440719437723877,0.00012305764920763878
current_x,125057,continuous,0.005136713107692676,0.036494370177766154,0.009085579173414144,0.002267989181860254,0.0005670707410091113,0.0001414224928098297
velocity,255587,continuous,0.011463378504469587,0.47465685529308715,0.11771407151712539,0.029751761386839205,0.00740895411028214,0.0018518258753383995
current_angle,5410,continuous,0.12346101285172476,1.1001637906852209,0.20801304233355625,0.03649384733337639,0.010630397177806216,0.0025247136528454427
angular_velocity,135,continuous,84.49767928382842,429.8405489999187,17.53313651959411,19.097026981736846,0.3304362628283249,3.083147608839579
