session_id,n_sampled,mean_31:101:169,std_31:101:169,mean_33:19:21,std_33:19:21,mean_33:19:46,std_33:19:46,mean_33:24:46,std_33:24:46,mean_33:52:54,std_33:52:54,mean_33:52:102,std_33:52:102,mean_33:57:59,std_33:57:59,mean_33:57:102,std_33:57:102,mean_33:71:73,std_33:71:73,mean_33:112:114,std_33:112:114,mean_33:112:129,std_33:112:129,mean_33:116:118,std_33:116:118,mean_34:8:10,std_34:8:10,mean_34:19:21,std_34:19:21,mean_34:19:46,std_34:19:46,mean_34:24:46,std_34:24:46,mean_34:52:54,std_34:52:54,mean_34:52:102,std_34:52:102,mean_34:57:59,std_34:57:59,mean_34:57:102,std_34:57:102,mean_34:71:73,std_34:71:73,mean_34:71:88,std_34:71:88,mean_34:112:114,std_34:112:114,mean_34:112:129,std_34:112:129,mean_34:116:118,std_34:116:118,mean_63:8:10,std_63:8:10,mean_63:17:22,std_63:17:22,mean_64:8:10,std_64:8:10,mean_64:17:22,std_64:17:22,mean_77:29:31,std_77:29:31,mean_77:29:252,std_77:29:252,mean_77:275:388,std_77:275:388
2025-03-19_10-20-35,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.836,0.6672,1.164,0.6672,1.52,0.5036,1.164,0.6672,1.52,0.5036,0.894,0.6684,0.27,0.4529,0.568,0.6304,0.326,0.4687,0.27,0.4529,1.52,0.5036,0.27,0.4529,1.962,0.2204,1.962,0.2204,1.962,0.2204,1.962,0.2204,0.022,0.1831,0.03,0.2216,0.03,0.2216
2025-03-19_10-37-56,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.76,0.6741,1.24,0.6741,1.448,0.5013,1.24,0.6741,1.448,0.5013,0.992,0.7071,0.248,0.4365,0.602,0.657,0.39,0.4877,0.248,0.4365,1.448,0.5013,0.248,0.4365,1.976,0.1656,1.976,0.1656,1.976,0.1656,1.976,0.1656,0.006,0.0772,0.034,0.2467,0.034,0.2467
2025-03-19_11-10-13,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.802,0.6714,1.198,0.6714,1.502,0.504,1.198,0.6714,1.502,0.504,0.928,0.7063,0.27,0.444,0.59,0.6526,0.338,0.473,0.27,0.444,1.502,0.504,0.27,0.444,1.968,0.1974,1.968,0.1974,1.968,0.1974,1.968,0.1974,0.014,0.1477,0.034,0.2467,0.034,0.2467
2025-03-20_09-31-56,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.796,0.677,1.204,0.677,1.484,0.5077,1.204,0.677,1.484,0.5077,0.898,0.675,0.306,0.4651,0.558,0.6408,0.34,0.4821,0.306,0.4651,1.484,0.5077,0.306,0.4651,1.988,0.1089,1.988,0.1089,1.988,0.1089,1.988,0.1089,0.002,0.0447,0.022,0.2038,0.022,0.2038
2025-03-20_09-46-30,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.708,0.6624,1.292,0.6624,1.42,0.4976,1.292,0.6624,1.42,0.4976,0.964,0.6502,0.328,0.4737,0.538,0.6454,0.426,0.4945,0.328,0.4737,1.42,0.4976,0.328,0.4737,1.77,0.5737,1.77,0.5737,1.77,0.5737,1.77,0.5737,0.026,0.1712,0.13,0.4702,0.13,0.4702
2025-03-20_10-03-00,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.826,0.6839,1.174,0.6839,1.494,0.5,1.174,0.6839,1.494,0.5,0.902,0.6756,0.272,0.4495,0.582,0.6319,0.32,0.4665,0.272,0.4495,1.494,0.5,0.272,0.4495,1.982,0.1723,1.982,0.1723,1.982,0.1723,1.982,0.1723,0.002,0.0447,0.01,0.1338,0.01,0.1338
2025-03-20_10-18-01,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.748,0.6546,1.252,0.6546,1.454,0.4979,1.252,0.6546,1.454,0.4979,0.946,0.7065,0.306,0.4651,0.544,0.6481,0.402,0.4903,0.306,0.4651,1.454,0.4979,0.306,0.4651,1.904,0.3779,1.904,0.3779,1.904,0.3779,1.904,0.3779,0.024,0.1882,0.056,0.3112,0.056,0.3112
2025-03-20_10-37-02,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.818,0.6906,1.182,0.6906,1.494,0.5,1.182,0.6906,1.494,0.5,0.878,0.7036,0.304,0.46,0.534,0.6518,0.344,0.475,0.304,0.46,1.494,0.5,0.304,0.46,1.986,0.1175,1.986,0.1175,1.986,0.1175,1.986,0.1175,0.006,0.0772,0.022,0.1937,0.022,0.1937
2025-03-21_10-22-23,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.82,0.6838,1.18,0.6838,1.468,0.5069,1.18,0.6838,1.468,0.5069,0.858,0.6677,0.322,0.4715,0.504,0.6277,0.354,0.4865,0.322,0.4715,1.468,0.5069,0.322,0.4715,1.99,0.0995,1.99,0.0995,1.99,0.0995,1.99,0.0995,0.002,0.0447,0.018,0.1835,0.018,0.1835
2025-03-21_10-38-47,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.816,0.6798,1.184,0.6798,1.466,0.4988,1.184,0.6798,1.466,0.4988,0.814,0.6538,0.37,0.4869,0.44,0.6053,0.374,0.4839,0.37,0.4869,1.466,0.4988,0.37,0.4869,1.986,0.1175,1.986,0.1175,1.986,0.1175,1.986,0.1175,0.004,0.0631,0.024,0.2084,0.024,0.2084
2025-03-21_10-59-39,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.798,0.6791,1.202,0.6791,1.432,0.5112,1.202,0.6791,1.432,0.5112,0.898,0.663,0.304,0.46,0.532,0.6426,0.366,0.4858,0.304,0.46,1.432,0.5112,0.304,0.46,1.95,0.2748,1.95,0.2748,1.95,0.2748,1.95,0.2748,0.006,0.0772,0.038,0.2618,0.038,0.2618
2025-03-21_11-21-42,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.824,0.6819,1.176,0.6819,1.514,0.5038,1.176,0.6819,1.514,0.5038,0.86,0.6756,0.316,0.4649,0.512,0.6244,0.348,0.4805,0.316,0.4649,1.514,0.5038,0.316,0.4649,1.976,0.153,1.976,0.153,1.976,0.153,1.976,0.153,0.014,0.1477,0.034,0.2467,0.034,0.2467
2025-03-25_13-23-42,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.74,0.6545,1.26,0.6545,1.42,0.5016,1.26,0.6545,1.42,0.5016,0.892,0.6575,0.368,0.4823,0.464,0.6138,0.428,0.4948,0.368,0.4823,1.42,0.5016,0.368,0.4823,1.744,0.6119,1.744,0.6119,1.744,0.6119,1.744,0.6119,0.034,0.2021,0.11,0.4265,0.11,0.4265
2025-03-25_13-39-06,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.776,0.7027,1.224,0.7027,1.42,0.5095,1.224,0.7027,1.42,0.5095,0.868,0.6772,0.356,0.4912,0.46,0.6102,0.408,0.5035,0.356,0.4912,1.42,0.5095,0.356,0.4912,1.974,0.1712,1.974,0.1712,1.974,0.1712,1.974,0.1712,0.006,0.0772,0.038,0.2618,0.038,0.2618
2025-03-26_10-12-02,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.772,0.6573,1.228,0.6573,1.388,0.4873,1.228,0.6573,1.388,0.4873,0.822,0.6151,0.406,0.4951,0.372,0.5528,0.45,0.4975,0.406,0.4951,1.388,0.4873,0.406,0.4951,1.956,0.241,1.956,0.241,1.956,0.241,1.956,0.241,0.014,0.1175,0.042,0.2612,0.042,0.2612
2025-03-26_10-27-20,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.8,0.645,1.2,0.645,1.476,0.4994,1.2,0.645,1.476,0.4994,0.9,0.6648,0.3,0.4626,0.534,0.6363,0.366,0.4817,0.3,0.4626,1.476,0.4994,0.3,0.4626,1.898,0.4142,1.898,0.4142,1.898,0.4142,1.898,0.4142,0.006,0.0772,0.038,0.2618,0.038,0.2618
2025-03-26_10-48-00,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.816,0.6827,1.184,0.6827,1.484,0.5077,1.184,0.6827,1.484,0.5077,0.888,0.6953,0.296,0.4565,0.54,0.6359,0.348,0.4847,0.296,0.4565,1.484,0.5077,0.296,0.4565,1.976,0.153,1.976,0.153,1.976,0.153,1.976,0.153,0.008,0.1093,0.04,0.2728,0.04,0.2728
2025-03-26_11-03-04,500,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.874,0.6739,1.126,0.6739,1.516,0.5116,1.126,0.6739,1.516,0.5116,0.842,0.6641,0.284,0.4554,0.516,0.6146,0.326,0.4687,0.284,0.4554,1.516,0.5116,0.284,0.4554,1.992,0.0891,1.992,0.0891,1.992,0.0891,1.992,0.0891,0.006,0.0772,0.01,0.1179,0.01,0.1179
